unit,year,vintage,cred_total,cred_mn,cred_me_usd,dep_total,dep_mn,dep_me_usd,label_credit,label_deposit,n_vintages,rev_spread_c,rev_spread_d,doll_credit,doll_deposit,fx_credit,fx_deposit,fx_implied,fx0,doll_credit_constfx,doll_deposit_constfx
BM,2023,2025,350864836.56771,252543120.25983,26508955.59662443,335250933.85996,204192151.27143997,35335341.76018335,Créditos Directos (Miles S/),Depósitos totales (Miles S/),3,0,0,28.0226759881952,39.09274198868168,3.7089999999999987,3.709,3.7089999999999996,2.8089999997482193,22.77128842886891,32.7095932740162
BM,2024,2025,351491408.82086,254893943.11328003,25663513.73740169,372440046.98086005,227540613.85905,38496129.9473459,Créditos Directos (Miles S/),Depósitos totales (Miles S/),2,0,0,27.48216977240874,38.90543841791979,3.7640000000000016,3.7640000000000025,3.7640000000000025,2.8089999997482193,22.0466704673164,32.214263388849005
BM,2025,2025,370438645.64607006,273831233.42505,28726557.306280103,394549103.89966,255366276.32598,41386508.34780851,Créditos Directos (Miles S/),Depósitos totales (Miles S/),1,0,0,26.0791937764836,35.27642724264718,3.363000000000002,3.362999999999999,3.363,2.8089999997482193,22.760904542112353,31.2831375885925
SSFF,2001,2007,42218537.431679994,8995563.757139998,9646624.156370498,49480969.53,15498193.385999998,9867240.422183508,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),1,0,0,78.69285791414012,68.6784767291119,3.444000008293057,3.4440000131749096,3.44400001076158,2.8090000002386644,75.07666043115341,64.13723027984481
SSFF,2002,2008,43323778.695870005,10338687.188150002,9386764.80014798,52740599.22399999,16865734.652,10209124.807057483,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),2,1.3849208446714556e-7,3.2233231639366977e-7,76.13622934248906,68.02134427717097,3.514,3.5140000000000002,3.514,2.8090000002386644,71.83387908706297,62.96758428243121
SSFF,2003,2009,41278528.69747001,10931137.355349995,8763324.09532775,52205092.659,18401885.394,9761249.571181059,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),3,1.938053495464942e-7,2.4901785078412786e-7,73.51858774942244,64.75078492016128,3.463000000000002,3.462999999999999,3.4630000000000005,2.8090000002386644,69.24904895087523,59.83983143059869
SSFF,2004,2010,42582105.19149,12605132.119859995,9133751.697632542,54596949.509,21149304.237,10191238.656916514,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),4,1.878723288051276e-7,2.3810853289063516e-7,70.39805321231718,61.26284631797303,3.2820000000000005,3.2820000000000005,3.2819999999999996,2.8090000002386644,67.05560446442553,57.511462346855666
SSFF,2005,2011,51703397.980129994,17498991.06284,9972130.296586003,66360360.74300001,26603428.373,11590942.381924195,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),5,1.9341088730584488e-7,1.356231349447512e-7,66.15504638676748,59.91066342145186,3.4300000000000006,3.4300000000000015,3.4300000000000015,2.8090000002386644,61.54972541830125,55.033205412174105
SSFF,2006,2012,59593610.64242,23680789.00204,11236802.766076343,73006323.50800002,32555632.504,12656661.765957445,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),6,1.510228830881033e-7,9.588210225786042e-8,60.26287256845031,55.40710593318323,3.196000000000001,3.1960000000000015,3.196000000000001,2.8090000002386644,57.134939397711754,52.20012465582148
SSFF,2007,2012,78147576.78936002,33622715.16969,14861435.787606806,94703644.524,47924003.952,15614032.233644862,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),6,1.0237041214722353e-7,8.447404997724561e-8,56.97535796878629,49.39581872178637,2.9960000000000018,2.996,2.9960000000000013,2.8090000002386644,55.38889537550743,47.786000091397625
